Startup_Name,Industry_Vertical,City_Location,Investors_Name,Investment_Type,Amount_In_USD
BYJU’S,E-Tech,Bengaluru,Tiger Global Management,Private+A2:E2865 Equity Round,200000000.00
Shuttl,Transportation,Gurgaon,Susquehanna Growth Equity,Series C,8048394.00
Mamaearth,E-commerce,Bengaluru,Sequoia Capital India,Series B,18358860.00
https://www.wealthbucket.in/,FinTech,New Delhi,Vinod Khatumal,Pre-series A,3000000.00
Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed Round,1800000.00
Pando,Logistics,Chennai,Chiratae Ventures,Series A,9000000.00
Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,150000000.00
Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,6000000.00
CarDekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.00
Dhruva Space,Aerospace,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.00
Rivigo,Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000.00
Healthians,B2B-focused foodtech startup,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.00
Licious,E-Commerce,Bengaluru,Vertex Growth Fund,Series E,30000000.00
InCred,Finance,Mumbai,BCCL,Debt Funding,5900000.00
Trell,Video,Bengaluru,Ruizheng Investment,Seed Round,2000000.00
Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.00
Lenskart.com,E-Commerce,Faridabad,SoftBank Vision Fund,Series G,231000000.00
Freshworks,Software,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000.00
Misters,Health and wellness,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.00
Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.00
Burger Singh,Food and Beverage,Gurgaon,RB Investments,Venture,0.00
Healthians,Health and Wellness,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000.00
Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.00
Aye Finance,FinTech,Gurgaon,FinTech,Debt Funding,17411265.00
SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,1300000.00
Clumio,SaaS,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.00
eBikeGo,Last Mile Transportation,Amritsar,Startup Buddy,Seed,300000.00
Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed Funding,220000000.00
Medikabazaar,Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.00
Vogo Automotive,Last Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.00
Furtados School of Music,Education,Tulangan,IAN Fund and DSG Consumer Partners,Funding Round,200000000.00
Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.00
Dunzo,Customer Service,Bengaluru,Lightbox,Series D,45000000.00
Udaan,B2B,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000.00
The Man Company,Consumer Goods,Gurgaon,Ayushmann Khurana,Corporate Round,0.00
FPL Technologies,FinTech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.00
Cashflo,FinTech,Mumbai,SAIF Partners,Series A,3300000.00
Digital F5,"Advertising, Marketing",Mumbai,TIW Private Equity,Private Equity Round,6000000.00
3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.00
75F,IoT,Burnsville,Breakthrough Energy Ventures,Series A,18000000.00
Myelin Foundry,Information Technology,Bengaluru,Endiya Partners,Seed,1000000.00
Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series A,10000000.00
GOQii,Health and Wellness,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.00
Vyapar App,Accounting,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.00
CarDekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.00
Progcap,Finance,New Delhi,Sequoia India,Series A,5000000.00
MyPetrolPump,Retail,Bengaluru,BCCL,Seed Funding Round,1600000.00
Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.00
Pine Labs,Information Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.00
Meesho,E-Commerce,Bengaluru,Naspers,Series D,125000000.00
Cars24,E-Commerce,Gurugram,MS Dhoni,Series D,11000000.00
Uniphore,Customer Service Platform,Palo Alto,March Capital Partners,Series C,51000000.00
Zendrive,Automotive,San Francisco,XL Innovate,Series B,37000000.00
Lo! Foods,Consumer Goods,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000.00
Tala,FinTech,Santa Monica,RPS Ventures,Series D,110000000.00
INDwealth,FinTech,Gurgaon,Tiger Global Management,Venture Round,15000000.00
HungerBox,Food and Beverage,Bengaluru,One97 Communications Ltd.,Series C,6590000.00
AdmitKard,EdTech,Noida,Growth DNA,Seed Round,1000000.00
Mishry Reviews,Services,Gurgaon,Vir Sanghvi,Series A,0.00
Grofers,E-Commerce,Gurgaon,Softbank Vision Fund,Series F,70000000.00
Rapido Bike Taxi,Transportation,Bengaluru,Westbridge Capital,Series B,3900000000.00
RenewBuy,Finance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.00
Atlan,Information Technology,Singapore,WaterBridge Ventures,Pre-Series A,2500000.00
WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,145000.00
Ola Cabs,Transport,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.00
Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series C,38080000.00
Daalchini Technologies,Food and Beverage,New Delhi,Artha Venture,Seed Round,500000.00
"""BYJU\\'S""",EdTech,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.00
Moglix,E-Commerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.00
Ezyhaul,Tech,Singapore,Undisclosed,Series B,16000000.00
Indus OS,Tech,Andheri,Ventureast,Series B,5750000.00
HealthAssure,Health Care,Mumbai,Blume Ventures,Series A,2500000.00
House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,1000000.00
Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,319605.00
NoBroker,E-Commerce,Bengaluru,General Atlantic,Series C,51000000.00
Bira91,Food and Beverage,New Delhi,Anicut Capital,Debt Funding,10000000.00
FabHotels,E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,4889975.54
Avail Finance,Finance,Bengaluru,Matrix Partners,Series A,9000000.00
BharatPe,Finance,New Delhi,Insight Partners,Series B,75000000.00
Recykal,Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.00
Agara Labs,Deep-Tech,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.00
Sistema.bio,Agriculture,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739034.68
Chakr Innovation,Energy,New Delhi,IAN Fund,Series A,26000000.00
Pratilipi,Digital Media,Bengaluru,Qiming Venture Partners,Series B,15109500.00
Bolo App,Digital Media,Bengaluru,Nexus Venture Partners,Seed Funding,430200.00
OkCredit,FinTech,Haryana,Tiger Global Management,Series A,15500000.00
Biz2Credit,FinTech,New York,WestBridge Capital,Series B,52000000.00
